phase,api,chaos_method,reconciler,iteration,seed,accuracy,hosseini_resilience,avg_latency_ms,min_latency_ms,max_latency_ms,throughput_pps,total_time_ms,packets_processed,packets_clean,packets_drifted,fast_path_latency_ms,gpu_latency_ms,batch_size,drift_event_count
quantum,openf1,json_manip,quantum_routed,1,1925043681,0.9072869,0.9072868824005127,13.564804857894561,0.04821398761123419,803.5881540272385,905.3475760579919,2761.3704019458964,2500,2328,172,70.56503894273192,2467.965704970993,64,1720
quantum,openf1,schema_alter,quantum_routed,1,871865710,0.86722237,0.8672223687171936,24.16808450706648,0.05230202805250883,810.6770300073549,866.0293007954102,2886.73835597001,2500,2392,108,111.76818888634443,2716.3882839959115,64,1080
quantum,finnhub,json_manip,quantum_routed,1,3091342568,0.7811149,0.7811148762702942,19.740074278270622,0.00943802297115326,917.111637070775,704.9014288370494,3546.5951659716666,2500,2334,166,70.489282021299,3407.0550709730014,64,664
quantum,openf1,qwen,quantum_routed,1,3260074454,0.83851683,0.8385168313980103,23.550314976851443,0.04699104465544224,797.3418899346143,579.6599119139839,4312.873718910851,2500,2342,158,86.46970195695758,4146.409412031062,64,1580
quantum,finnhub,qwen,quantum_routed,1,1301935308,0.75080234,0.7508023381233215,32.11796942990846,0.009799026884138584,964.8062660126016,553.8580485796782,4513.791947974823,2500,2370,130,41.03076702449471,4422.591793001629,64,520
quantum,finnhub,schema_alter,quantum_routed,1,1753426110,0.7843061,0.7843061089515686,42.453411296603505,0.027313013561069965,881.0045089339837,541.5663733397939,4616.239344002679,2500,2398,102,50.678355037234724,4513.180571957491,64,408
quantum,spacex,schema_alter,quantum_routed,1,2306848957,0.7840276,0.7840275764465332,31.54988874060412,0.028114067390561104,110.23514706175774,947.870022681025,2637.4924200354144,2500,2428,72,19.768234924413264,2351.8763040192425,64,288
quantum,spacex,qwen,quantum_routed,1,1869236560,0.81793296,0.8179329633712769,26.45896909415151,0.009518000297248363,356.36638291180134,660.1275902717161,3787.146662012674,2500,2363,137,19.650927046313882,3743.1501440005377,64,548
quantum,openweather,schema_alter,quantum_routed,1,3176273455,0.826852,0.826852023601532,34.562434964485604,0.026962952688336372,122.86180292721838,1265.2167088723688,1975.9460829664022,2500,2446,54,19.573525991290808,1933.5891649825498,64,216
quantum,spacex,json_manip,quantum_routed,1,1880403096,0.8716978,0.8716977834701538,20.818471065190945,0.009258044883608818,355.21157504990697,623.1134989446862,4012.1101600816473,2500,2316,184,19.542244961485267,3969.870590022765,64,736
quantum,openweather,qwen,quantum_routed,1,2826526034,0.8205422,0.8205422163009644,120.26543185880809,0.00984896905720234,5482.380872010253,191.6762860281616,13042.82366798725,2500,2393,107,19.945207983255386,12998.445990961045,64,428
quantum,openweather,json_manip,quantum_routed,1,1388894160,0.84299374,0.8429937362670898,157.9576450471935,0.009307987056672573,6217.4620849546045,105.37261640406346,23725.32907803543,2500,2351,149,20.004483056254685,23682.47107800562,64,596
quantum,hockey_nhl,schema_alter,quantum_routed,1,864844442,0.7474010996618793,0.7474010996618793,0.30432474415968447,0.2488819882273674,0.36689103581011295,282.57136886892295,8847.322395071387,2500,2449,51,6481.549141928554,88.09124503750354,64,1326
quantum,hockey_nhl,qwen,quantum_routed,1,587980450,0.8827981,0.8827980756759644,184.5886695607588,0.24062697775661945,6533.2835839362815,79.73242946855838,31354.870492010377,2500,2377,123,6455.913458019495,23011.383820092306,64,3198
quantum,hockey_nhl,json_manip,quantum_routed,1,3055161910,0.92393774,0.9239377379417419,74.57478591366797,0.2369399880990386,6609.831033973023,109.6211907361163,22805.809563025832,2500,2315,185,6526.391940074973,14157.277421909384,64,4810
quantum,clinical,json_manip,quantum_routed,1,2268059618,0.8755199,0.875519871711731,231.7834670706361,0.013947021216154099,6687.064977944829,67.04268467425831,37289.67615403235,2500,2340,160,23.559606983326375,37240.3750999365,64,800
quantum,clinical,qwen,quantum_routed,1,608992924,0.819406,0.8194059133529663,314.6879326645285,0.014277989976108074,6580.319867003709,63.151432670752584,39587.383757927455,2500,2375,125,23.805142962373793,39536.6064599948,64,625
quantum,clinical,schema_alter,quantum_routed,1,623136646,0.7696966,0.7696965932846069,623.2655706452065,0.03612996079027653,5878.594095003791,60.48744755745307,41330.88931592647,2500,2434,66,23.442509933374822,41282.06813102588,64,330
quantum,football_uefa,qwen,quantum_routed,1,2470270663,0.88543934,0.8854393362998962,41.6193265593102,0.07782003376632929,2316.931742010638,382.64030192460444,6533.551190048456,2500,2381,119,1115.183908957988,5055.49856799189,64,1547
quantum,smartcity_transit,qwen,quantum_routed,1,961063833,0.87628657,0.8762865662574768,4.279093346595468,0.17800601199269295,49.68711198307574,3016.014851832539,828.9083850104362,2500,2374,126,111.64933897089213,638.838162063621,64,2520
quantum,football_uefa,json_manip,quantum_routed,1,3496647998,0.92339593,0.9233959317207336,27.052665837023905,0.0780309783294797,2314.032349968329,415.0628093185376,6023.18479004316,2500,2336,164,1114.1447849804536,4568.459223024547,64,2132
quantum,smartcity_transit,schema_alter,quantum_routed,1,4161577514,0.8357620673257711,0.8357620673257711,0.19575156436142763,0.18639105837792158,0.2241149777546525,10163.994548560715,245.966286980547,2500,2418,82,109.20851700939238,65.18735992722213,64,1640
quantum,football_uefa,schema_alter,quantum_routed,1,2773541159,0.90126806,0.9012680649757385,23.642888063677475,0.07895298767834902,364.3441040767357,592.8809544318063,4216.698109987192,2500,2409,91,1100.9914769092575,2230.7886040071025,64,1183
quantum,aviation_opensky,schema_alter,quantum_routed,1,3330513406,0.62133354,0.6213335394859314,123.16645377936463,0.014457968063652515,1807.905290974304,236.09387073293462,10589.008483104408,2500,2425,75,1156.0271719936281,9304.631754988804,64,150
quantum,aviation_opensky,qwen,quantum_routed,1,2436039110,0.52935785,0.5293578505516052,117.43323721628158,0.004448927938938141,2317.4617110053077,176.12693102947776,14194.308532983996,2500,2391,109,1173.808985040523,12884.96825704351,64,218
quantum,smartcity_transit,json_manip,quantum_routed,1,3522405332,0.939358,0.9393579959869385,6.462941784267054,0.1803189516067505,363.246176042594,1809.0943662071556,1381.906906957738,2500,2339,161,112.7762949327007,1196.345507982187,64,3220
quantum,aviation_opensky,json_manip,quantum_routed,1,2683236806,0.54787886,0.5478788614273071,69.54371670091695,0.003797002136707306,2318.130137049593,194.83300343670243,12831.501623964868,2500,2335,165,1141.3223859854043,11567.20439507626,64,330
