timestamp,api_source,run_number,hardware_platform,hardware_model,cloud_platform,chaos_strategy,chaos_level,drift_type,original_field,mutated_field,metadata
2026-05-20T17:47:14.911158Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 183.9693460702047, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:16.335149Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pirce"", ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:17.246795Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,canonical,canonical_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:18.596393Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,vanlue,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:19.563566Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 188.1976355603734, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:19.709987Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:19.867449Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,meadata,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:22.013291Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canonicapl,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:22.806197Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,alue,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:22.954426Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 165.13860761943496, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:23.229544Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,vaule,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:25.413285Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 165.5377258968278, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:25.658855Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 185.16620382869013, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:25.903776Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""prce"", ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:30.521380Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,metaadta,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:30.646301Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canonicla,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:31.075525Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,cranonical,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:31.227575Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:32.342409Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,canonical,canonical_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:34.295869Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 196.2501883572106, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:34.749782Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 172.08981483527793, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:34.913250Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canonicval,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:35.310763Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:36.122874Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""rice"", ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:36.226057Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,vlue,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
