hardware,api_name,chaos_source,chaos_type_injected,chaos_detected,semantic_repair_type,p95_latency_ms,throughput_pps,resilience_P
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,extra_keys,extra_keys,Canonical Matcher Bypass,1478.433,0.676391828375043,0.44992901434068877
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,extra_keys,extra_keys,Canonical Matcher Bypass,1485.305,0.673262393919094,0.4494538190919389
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,extra_keys,extra_keys,Canonical Matcher Bypass,1502.052,0.6657559125782596,0.4494388035019888
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,extra_keys,extra_keys,Canonical Matcher Bypass,1500.603,0.6663987743593742,0.44971234573621743
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,extra_keys,extra_keys,Canonical Matcher Bypass,1527.593,0.6546246284186953,0.4494165370377202
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,extra_keys,extra_keys,Canonical Matcher Bypass,1550.062,0.6451354849031845,0.4519275601148952
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,extra_keys,extra_keys,Canonical Matcher Bypass,1502.02,0.665770096270356,0.44943883187433725
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,extra_keys,extra_keys,Canonical Matcher Bypass,1523.647,0.6563200006300672,0.44969218466118793
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,extra_keys,extra_keys,Canonical Matcher Bypass,1504.223,0.6647950470109817,0.449709137720216
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,extra_keys,extra_keys,Canonical Matcher Bypass,1465.98,0.6821375462148187,0.4497438287884985
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,extra_keys,extra_keys,Canonical Matcher Bypass,1496.951,0.6680245378773253,0.4520534499062529
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,merged_fields,merged_fields,Canonical Matcher Bypass,1510.155,0.6621836831318639,0.44848583635552397
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,merged_fields,merged_fields,Canonical Matcher Bypass,1511.788,0.6614684069459474,0.44848415545648707
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,merged_fields,merged_fields,Canonical Matcher Bypass,1500.286,0.6665395797867874,0.45059567238899145
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,merged_fields,merged_fields,Canonical Matcher Bypass,1468.484,0.6809743926389392,0.4496028659088008
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,merged_fields,merged_fields,Canonical Matcher Bypass,1487.251,0.6723814608294094,0.4495826725190483
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,merged_fields,merged_fields,Canonical Matcher Bypass,1526.25,0.6552006552006552,0.44931320671672986
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,merged_fields,merged_fields,Canonical Matcher Bypass,1561.122,0.6405649270204379,0.45045281179877655
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,merged_fields,merged_fields,Canonical Matcher Bypass,1462.537,0.6837433856374232,0.4482974307816239
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,missing_keys,missing_keys,Canonical Matcher Bypass,1478.184,0.6765057665351539,0.44756387303365275
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,missing_keys,missing_keys,Canonical Matcher Bypass,1515.467,0.6598626034087183,0.4504839145275493
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,missing_keys,missing_keys,Canonical Matcher Bypass,1549.375,0.645421540943929,0.45068069899003893
AMD_Radeon_RX_7900_XT_20GB,finnhub,Gemma Adversarial LLM,missing_keys,missing_keys,Canonical Matcher Bypass,1521.785,0.6571230495766485,0.45277813514149223
