repetition,api,chaos_method,n_samples,routing_accuracy,balanced_accuracy,macro_f1,mean_confidence,mean_selected_reconciliation_accuracy,mean_oracle_reconciliation_accuracy,gpu_dispatch_rate
3,finnhub,json_manip,250,0.312,0.312,0.11890243902439024,0.28046875,1.0,1.0,0.54
3,finnhub,qwen,250,0.284,0.284,0.11059190031152648,0.2827395833333334,1.0,1.0,0.488
3,finnhub,schema_alter,250,0.208,0.208,0.08609271523178808,0.283,1.0,1.0,0.444
3,football_uefa,json_manip,250,0.608,0.608,0.1890547263681592,0.28425,1.0,1.0,0.636
3,football_uefa,qwen,250,0.512,0.512,0.1693121693121693,0.28386458333333336,1.0,1.0,0.56
3,football_uefa,schema_alter,250,0.512,0.512,0.1693121693121693,0.28277083333333336,1.0,1.0,0.568
3,hockey_nhl,json_manip,250,0.552,0.552,0.17783505154639176,0.29903125,1.0,1.0,0.552
3,hockey_nhl,qwen,250,0.512,0.512,0.1693121693121693,0.2959375,1.0,1.0,0.568
3,hockey_nhl,schema_alter,250,0.436,0.436,0.15181058495821728,0.29010416666666666,1.0,1.0,0.552
3,openf1,json_manip,250,0.172,0.172,0.07337883959044368,0.2790416666666667,1.0,1.0,0.436
3,openf1,qwen,250,0.224,0.224,0.0915032679738562,0.2794270833333334,1.0,1.0,0.5
3,openf1,schema_alter,250,0.188,0.188,0.07912457912457913,0.27802083333333333,1.0,1.0,0.524
3,openweather,json_manip,250,0.66,0.66,0.19879518072289157,0.2866875,1.0,1.0,0.744
3,openweather,qwen,250,0.624,0.624,0.1921182266009852,0.28915625,1.0,1.0,0.708
3,openweather,schema_alter,250,0.552,0.552,0.17783505154639176,0.29122916666666665,1.0,1.0,0.604
3,smartcity_transit,json_manip,250,0.232,0.232,0.09415584415584416,0.2769270833333333,1.0,1.0,0.432
3,smartcity_transit,qwen,250,0.224,0.224,0.0915032679738562,0.2772395833333334,1.0,1.0,0.456
3,smartcity_transit,schema_alter,250,0.232,0.232,0.09415584415584416,0.2777395833333333,1.0,1.0,0.464
3,spacex,json_manip,250,0.3,0.3,0.11538461538461539,0.2891875,1.0,1.0,0.38
3,spacex,qwen,250,0.376,0.376,0.13662790697674418,0.28879166666666667,1.0,1.0,0.436
3,spacex,schema_alter,250,0.524,0.524,0.17191601049868765,0.2923854166666667,1.0,1.0,0.556
ensemble,aviation_opensky,json_manip,250,0.452,0.452,0.15564738292011018,0.29096180555555556,1.0,1.0,0.468
ensemble,aviation_opensky,qwen,250,0.416,0.416,0.14689265536723164,0.28922569444444446,1.0,1.0,0.52
ensemble,aviation_opensky,schema_alter,250,0.184,0.184,0.0777027027027027,0.2776875,1.0,1.0,0.5
ensemble,clinical,json_manip,250,0.224,0.224,0.0915032679738562,0.2916423611111111,1.0,1.0,0.26
ensemble,clinical,qwen,250,0.212,0.212,0.08745874587458746,0.29756597222222225,1.0,1.0,0.248
ensemble,clinical,schema_alter,250,0.288,0.288,0.11180124223602485,0.30947569444444445,1.0,1.0,0.288
ensemble,finnhub,json_manip,250,0.34,0.34,0.12686567164179105,0.2725,1.0,1.0,0.524
ensemble,finnhub,qwen,250,0.308,0.308,0.11773700305810397,0.27402430555555557,1.0,1.0,0.504
ensemble,finnhub,schema_alter,250,0.16,0.16,0.06896551724137931,0.27394444444444443,1.0,1.0,0.44
ensemble,football_uefa,json_manip,250,0.724,0.724,0.2099767981438515,0.2766319444444444,1.0,1.0,0.736
ensemble,football_uefa,qwen,250,0.66,0.66,0.19879518072289157,0.2760347222222222,1.0,1.0,0.672
ensemble,football_uefa,schema_alter,250,0.724,0.724,0.2099767981438515,0.2750972222222222,1.0,1.0,0.736
ensemble,hockey_nhl,json_manip,250,0.6,0.6,0.1875,0.2922534722222222,1.0,1.0,0.6
ensemble,hockey_nhl,qwen,250,0.564,0.564,0.18030690537084398,0.2894305555555555,1.0,1.0,0.616
ensemble,hockey_nhl,schema_alter,250,0.452,0.452,0.15564738292011018,0.2831388888888889,1.0,1.0,0.58
ensemble,openf1,json_manip,250,0.188,0.188,0.07912457912457913,0.26892708333333337,1.0,1.0,0.484
ensemble,openf1,qwen,250,0.188,0.188,0.07912457912457913,0.2683541666666666,1.0,1.0,0.5
ensemble,openf1,schema_alter,250,0.156,0.156,0.06747404844290658,0.26796875,1.0,1.0,0.492
ensemble,openweather,json_manip,250,0.808,0.808,0.2234513274336283,0.28169444444444447,1.0,1.0,0.864
ensemble,openweather,qwen,250,0.764,0.764,0.2165532879818594,0.2836701388888889,1.0,1.0,0.816
ensemble,openweather,schema_alter,250,0.676,0.676,0.2016706443914081,0.2854548611111111,1.0,1.0,0.684
ensemble,smartcity_transit,json_manip,250,0.204,0.204,0.08471760797342193,0.2652847222222222,1.0,1.0,0.444
ensemble,smartcity_transit,qwen,250,0.208,0.208,0.08609271523178808,0.2656909722222222,1.0,1.0,0.44
ensemble,smartcity_transit,schema_alter,250,0.2,0.2,0.08333333333333333,0.2663159722222223,1.0,1.0,0.48
ensemble,spacex,json_manip,250,0.272,0.272,0.1069182389937107,0.28181944444444446,1.0,1.0,0.34
ensemble,spacex,qwen,250,0.392,0.392,0.14080459770114942,0.2828923611111111,1.0,1.0,0.432
ensemble,spacex,schema_alter,250,0.58,0.58,0.18354430379746836,0.2865,1.0,1.0,0.588
