time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,19,6,0,0
2026-04-14 00:00:00+00:00,50,9,0,0
2026-04-15 00:00:00+00:00,30,7,1,1
2026-04-16 00:00:00+00:00,43,7,5,2
2026-04-17 00:00:00+00:00,48,12,7,2
2026-04-18 00:00:00+00:00,36,8,2,1
2026-04-19 00:00:00+00:00,34,11,5,2
2026-04-20 00:00:00+00:00,33,5,6,2
2026-04-21 00:00:00+00:00,58,13,4,3
2026-04-22 00:00:00+00:00,83,18,2,2
2026-04-23 00:00:00+00:00,220,98,2,1
2026-04-24 00:00:00+00:00,153,73,3,1
2026-04-25 00:00:00+00:00,142,73,4,3
2026-04-26 00:00:00+00:00,47,9,5,3
