time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-06 00:00:00+00:00,68,17,77,2
2026-04-07 00:00:00+00:00,31,8,25,4
2026-04-08 00:00:00+00:00,166,25,5,2
2026-04-09 00:00:00+00:00,42,10,1,1
2026-04-10 00:00:00+00:00,36,8,5,3
2026-04-11 00:00:00+00:00,34,6,3,2
2026-04-12 00:00:00+00:00,25,6,3,1
2026-04-13 00:00:00+00:00,19,6,0,0
2026-04-14 00:00:00+00:00,50,9,0,0
2026-04-15 00:00:00+00:00,30,7,1,1
2026-04-16 00:00:00+00:00,43,7,5,2
2026-04-17 00:00:00+00:00,48,12,7,2
2026-04-18 00:00:00+00:00,36,8,2,1
2026-04-19 00:00:00+00:00,34,11,5,2
