time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-31 00:00:00+00:00,607,116,111,2
2026-04-01 00:00:00+00:00,42,12,9,2
2026-04-02 00:00:00+00:00,11,9,9,2
2026-04-03 00:00:00+00:00,34,11,14,4
2026-04-04 00:00:00+00:00,6,6,0,0
2026-04-05 00:00:00+00:00,34,9,5,1
2026-04-06 00:00:00+00:00,68,17,77,2
2026-04-07 00:00:00+00:00,31,8,25,4
2026-04-08 00:00:00+00:00,166,25,5,2
2026-04-09 00:00:00+00:00,42,10,1,1
2026-04-10 00:00:00+00:00,36,8,5,3
2026-04-11 00:00:00+00:00,34,6,3,2
2026-04-12 00:00:00+00:00,25,6,3,1
2026-04-13 00:00:00+00:00,19,6,0,0
