run_id,run_number,api,strategy,reconciler,avg_latency_ms,min_latency_ms,max_latency_ms,p95_latency_ms,accuracy,throughput_pps,resilience_P,resilience_P2,vram_allocated_mb,compute_utilization_pct,drift_packets_pct
,1,,,regex,0.01182617095997557,0.0037999707274138927,2.7046590112149715,0.01221999991685152,0.97604,84558.22289263319,0.9952080000000001,0.99401,15223.39501953125,0,5.159
,1,,,levenshtein,0.0012143498845398426,0.0011199736036360264,0.05658000009134412,0.0012800446711480618,0.0125,823485.8937537044,0.8025,0.753125,15223.39501953125,0,5.159
,1,,,bert,0.00025642830005381264,0.0,0.004970503974681384,0.004970503974681384,0.9555,3899725.57549282,0.9911000000000001,0.9888750000000001,15223.39501953125,0,5.159
,1,,,gemma,0.01842199167993386,0.0,0.3570845450655913,0.3570845450655913,0.97604,54282.94710876724,0.9952080000000001,0.99401,15223.39501953125,0,5.159
,1,,,regex,0.011790744154714048,0.003769993782043457,1.183811982627958,0.012599979527294636,0.97549,84812.28893429859,0.995098,0.9938725,15223.39501953125,0,4.993
,1,,,levenshtein,0.001227016660850495,0.0011299853213131428,0.05310901906341314,0.001300009898841381,0.01322,814984.8587278834,0.8026439999999999,0.753305,15223.39501953125,0,4.993
,1,,,bert,0.000279144340311177,0.0,0.005590713805551313,0.0,0.95702,3582376.052780604,0.991404,0.989255,15223.39501953125,0,4.993
,1,,,gemma,0.018495599830057465,0.0,0.37043059944036594,0.0,0.97549,54066.91370857222,0.995098,0.9938725,15223.39501953125,0,4.993
,1,,,regex,0.011605164263164625,0.003709981683641672,7.862908998504281,0.01292000524699688,0.976,86168.53474224836,0.9952000000000001,0.994,15223.25390625,0,4.993
,1,,,levenshtein,0.001239025038667023,0.0011489610187709332,0.09649799903854728,0.0013100216165184975,0.01259,807086.1917978892,0.8025180000000001,0.7531475,15223.25390625,0,4.993
,1,,,bert,0.00298602874041535,0.0,0.05980430082946825,0.0,0.95946,334892.9588202497,0.991892,0.989865,15223.25390625,0,4.993
,1,,,gemma,0.01761282062041573,0.0,0.3527502627762013,0.0,0.976,56776.82306267627,0.9952000000000001,0.994,15223.25390625,0,4.993
,1,,,regex,0.011136715430766345,0.0036599813029170036,0.25446602376177907,0.011580006685107946,0.98238,89793.08183069805,0.9964759999999999,0.995595,15223.2265625,0,4.938
,1,,,levenshtein,0.0012253080069785937,0.0011289957910776138,0.05632900865748525,0.0012799864634871483,0.00983,816121.3297429061,0.801966,0.7524575,15223.2265625,0,4.938
,1,,,bert,0.000168690099962987,0.0,0.003416162413183212,0.0,0.95633,5928030.158375708,0.991266,0.9890825,15223.2265625,0,4.938
,1,,,gemma,0.014816955360001884,0.0,0.3000598493317514,0.0,0.98238,67490.24854994722,0.9964759999999999,0.995595,15223.2265625,0,4.938
