method,avg_latency_ms,min_latency_ms,max_latency_ms
regex,0.1576896551153462,0.011000000085914508,0.37010000050941017
levenshtein,0.01740344822761033,0.003499999365885742,0.45479999971576035
bert,22.627822413973075,0.03839999953925144,1096.1031000006187
gemma,5315.075750000092,0.0005000001692678779,7917.9346000000805
