timestamp,packet_idx,source,driver_number,chaos_method,chaos_sub_type,reconciler,accuracy,latency_ms,mapped_fields,unmapped_fields
2026-07-16T20:52:48.197207,201,openf1,1,json_manip,variable_drop,bert,0.0,0.002,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197219,203,openf1,1,json_manip,field_join,bert,0.0,0.002,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197231,206,openf1,1,json_manip,scalar_to_array,bert,0.0,0.002,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197269,215,openf1,1,json_manip,default_value_inject,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197282,224,openf1,1,json_manip,field_merge_value,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197295,255,openf1,1,json_manip,outlier_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197307,259,openf1,1,json_manip,scalar_to_array,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197346,269,openf1,1,json_manip,default_value_inject,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197361,281,openf1,1,json_manip,field_join,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197375,284,openf1,1,json_manip,field_split,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197390,296,openf1,1,json_manip,array_expansion,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197423,303,openf1,1,json_manip,array_expansion,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197436,309,openf1,1,json_manip,duplicate_field_inject,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197448,316,openf1,1,json_manip,duplicate_field_inject,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197462,336,openf1,1,json_manip,outlier_injection,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197502,353,openf1,1,json_manip,null_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197515,359,openf1,1,json_manip,field_split,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197529,366,openf1,1,json_manip,outlier_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197698,367,openf1,1,json_manip,outlier_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197749,373,openf1,1,json_manip,default_value_inject,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197767,378,openf1,1,json_manip,null_injection,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197782,379,openf1,1,json_manip,field_split,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197795,382,openf1,1,json_manip,field_join,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197834,396,openf1,1,json_manip,outlier_injection,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197850,399,openf1,1,json_manip,variable_drop,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197863,404,openf1,1,json_manip,outlier_injection,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197880,405,openf1,1,json_manip,outlier_injection,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197920,420,openf1,1,json_manip,variable_drop,bert,0.0,0.005,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197938,450,openf1,1,json_manip,variable_drop,bert,0.0,0.005,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197951,451,openf1,1,json_manip,null_injection,bert,0.0,0.005,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.197964,458,openf1,1,json_manip,field_join,bert,0.0,0.005,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198005,470,openf1,1,json_manip,scalar_to_array,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198019,474,openf1,1,json_manip,field_split,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198032,512,openf1,1,json_manip,field_join,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198044,513,openf1,1,json_manip,duplicate_field_inject,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198083,521,openf1,1,json_manip,array_to_scalar,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198097,522,openf1,1,json_manip,default_value_inject,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198112,546,openf1,1,json_manip,outlier_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198126,547,openf1,1,json_manip,null_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198160,552,openf1,1,json_manip,duplicate_field_inject,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198173,557,openf1,1,json_manip,null_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198186,559,openf1,1,json_manip,outlier_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198198,570,openf1,1,json_manip,outlier_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198234,585,openf1,1,json_manip,outlier_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198247,590,openf1,1,json_manip,array_expansion,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198260,592,openf1,1,json_manip,outlier_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198275,604,openf1,1,json_manip,field_join,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198312,616,openf1,1,json_manip,array_to_scalar,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198325,623,openf1,1,json_manip,null_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198337,629,openf1,1,json_manip,duplicate_field_inject,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198351,633,openf1,1,json_manip,outlier_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198390,640,openf1,1,json_manip,default_value_inject,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198405,651,openf1,1,json_manip,outlier_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198419,660,openf1,1,json_manip,null_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198431,672,openf1,1,json_manip,default_value_inject,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198465,676,openf1,1,json_manip,field_join,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198480,703,openf1,1,json_manip,field_join,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198493,707,openf1,1,json_manip,scalar_to_array,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198506,725,openf1,1,json_manip,scalar_to_array,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198544,737,openf1,1,json_manip,outlier_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198579,748,openf1,1,json_manip,array_to_scalar,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198593,759,openf1,1,json_manip,field_merge_value,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
