phase,api,chaos_method,reconciler,n_iterations,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,hosseini_mean,hosseini_std,hosseini_min,hosseini_max,latency_mean_ms,latency_std_ms,throughput_mean_pps,throughput_std_pps,throughput_min_pps,throughput_max_pps,total_time_mean_ms,total_time_std_ms,fast_path_latency_mean_ms,fast_path_latency_std_ms,gpu_latency_mean_ms,gpu_latency_std_ms,packets_clean_mean,packets_drifted_mean,batch_size
quantum,openf1,qwen,quantum_routed,1,0.5037163258682246,0.0,0.5037163258682246,0.5037163258682246,0.5037163258682246,0.0,0.5037163258682246,0.5037163258682246,0.015054823524212535,0.0,105.86762731315274,0.0,105.86762731315274,105.86762731315274,23614.39529201016,0.0,12.98795800539665,0.0,23587.44633398601,0.0,2342.0,158.0,8
quantum,openf1,json_manip,quantum_routed,1,0.5072597137014315,0.0,0.5072597137014315,0.5072597137014315,0.5072597137014315,0.0,0.5072597137014315,0.5072597137014315,0.014293969943091,0.0,94.25645406854575,0.0,94.25645406854575,94.25645406854575,26523.382665996905,0.0,13.031999988015741,0.0,26497.293541993713,0.0,2337.0,163.0,8
quantum,openf1,schema_alter,quantum_routed,1,0.40796296296296297,0.0,0.40796296296296297,0.40796296296296297,0.40796296296296297,0.0,0.40796296296296297,0.40796296296296297,0.011346073868615483,0.0,124.1139376664852,0.0,124.1139376664852,124.1139376664852,20142.782083974453,0.0,13.349749991903082,0.0,20110.000124986982,0.0,2392.0,108.0,8
quantum,finnhub,qwen,quantum_routed,1,0.37346153846153846,0.0,0.37346153846153846,0.37346153846153846,0.37346153846153846,0.0,0.37346153846153846,0.37346153846153846,0.003677561583642203,0.0,112.80126425675829,0.0,112.80126425675829,112.80126425675829,22162.87216701312,0.0,15.77829199959524,0.0,22121.09354097629,0.0,2370.0,130.0,8
quantum,finnhub,json_manip,quantum_routed,1,0.41536144578313255,0.0,0.41536144578313255,0.41536144578313255,0.41536144578313255,0.0,0.41536144578313255,0.41536144578313255,0.0035690358651981474,0.0,105.07414168035473,0.0,105.07414168035473,105.07414168035473,23792.72349999519,0.0,6.499415991129354,0.0,23775.386624998646,0.0,2334.0,166.0,8
quantum,finnhub,schema_alter,quantum_routed,1,0.35000000000000003,0.0,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.35000000000000003,0.35000000000000003,0.005207517853134549,0.0,120.98241763542308,0.0,120.98241763542308,120.98241763542308,20664.159709005617,0.0,7.780332991387695,0.0,20646.881249995204,0.0,2398.0,102.0,8
quantum,spacex,qwen,quantum_routed,1,0.4306375497981338,0.0,0.4306375497981338,0.4306375497981338,0.43063754979813373,0.0,0.43063754979813373,0.43063754979813373,0.005676358407975113,0.0,57.19086958639854,0.0,57.19086958639854,57.19086958639854,43713.27133299201,0.0,25.606833019992337,0.0,43677.54170901026,0.0,2363.0,137.0,8
quantum,spacex,json_manip,quantum_routed,1,0.4902173913043478,0.0,0.4902173913043478,0.4902173913043478,0.4902173913043478,0.0,0.4902173913043478,0.4902173913043478,0.004726229710048874,0.0,15.950858989207086,0.0,15.950858989207086,15.950858989207086,156731.37112500262,0.0,9.28637498873286,0.0,156712.38666700083,0.0,2316.0,184.0,8
quantum,spacex,schema_alter,quantum_routed,1,0.34652777777777777,0.0,0.34652777777777777,0.34652777777777777,0.34652777777777777,0.0,0.34652777777777777,0.34652777777777777,0.005847221877451779,0.0,130.3291420537643,0.0,130.3291420537643,130.3291420537643,19182.202541996958,0.0,7.092374988133088,0.0,19164.986832998693,0.0,2428.0,72.0,8
quantum,openweather,qwen,quantum_routed,1,0.3593457943925234,0.0,0.3593457943925234,0.3593457943925234,0.3593457943925234,0.0,0.3593457943925234,0.3593457943925234,0.005341925936811995,0.0,123.33834369518725,0.0,123.33834369518725,123.33834369518725,20269.446833000984,0.0,6.613542005652562,0.0,20252.791334001813,0.0,2393.0,107.0,8
quantum,openweather,json_manip,quantum_routed,1,0.28053691275167786,0.0,0.28053691275167786,0.28053691275167786,0.28053691275167786,0.0,0.28053691275167786,0.28053691275167786,0.003798081127039138,0.0,6.8603030012240005,0.0,6.8603030012240005,6.8603030012240005,364415.3909169836,0.0,6.974999996600673,0.0,364399.52116599306,0.0,2351.0,149.0,8
quantum,openweather,schema_alter,quantum_routed,1,0.3388888888888889,0.0,0.3388888888888889,0.3388888888888889,0.3388888888888889,0.0,0.3388888888888889,0.3388888888888889,0.006453000457474479,0.0,125.79761743453875,0.0,125.79761743453875,125.79761743453875,19873.190375015838,0.0,8.417374978307635,0.0,19855.76420900179,0.0,2446.0,54.0,8
quantum,clinical,qwen,quantum_routed,1,0.38902545454545456,0.0,0.38902545454545456,0.38902545454545456,0.38902545454545456,0.0,0.38902545454545456,0.38902545454545456,0.0057969840709120035,0.0,114.3276267937159,0.0,114.3276267937159,114.3276267937159,21866.98062499636,0.0,7.467332994565368,0.0,21848.930292006116,0.0,2375.0,125.0,8
quantum,clinical,json_manip,quantum_routed,1,0.401875,0.0,0.401875,0.401875,0.401875,0.0,0.401875,0.401875,0.006143731661722995,0.0,59.68143197539946,0.0,59.68143197539946,59.68143197539946,41889.07533301972,0.0,8.06525000371039,0.0,41870.57408300461,0.0,2340.0,160.0,8
quantum,clinical,schema_alter,quantum_routed,1,0.2566666666666667,0.0,0.2566666666666667,0.2566666666666667,0.2566666666666667,0.0,0.2566666666666667,0.2566666666666667,0.007323240314497415,0.0,126.06153158948712,0.0,126.06153158948712,126.06153158948712,19831.58516700496,0.0,8.541707997210324,0.0,19812.767042021733,0.0,2434.0,66.0,8
quantum,hockey_nhl,qwen,quantum_routed,1,0.34083577185056063,0.0,0.34083577185056063,0.34083577185056063,0.34083577185056063,0.0,0.34083577185056063,0.34083577185056063,0.044202234698232354,0.0,118.79984335101328,0.0,118.79984335101328,118.79984335101328,21043.798792001326,0.0,2627.5165420083795,0.0,17758.109125017654,0.0,2377.0,123.0,8
