reconciler,avg_latency_ms,min_latency_ms,max_latency_ms,p95_latency_ms,throughput_pps,accuracy,resilience_P,resilience_P2
bert,0.009053544070000329,0.0,0.608136561946017,0.15203414048650424,573286.7080623673,0.9674675,0.9934935,0.9918668749999999
gemma,0.028303681180000238,0.0,0.6461147823518004,0.1615286955879501,35642.054927461,0.9774275,0.9954855,0.994356875
levenshtein,0.5022689676976043,0.12296199997763324,193.5663829999612,0.5167865749868383,1991.1012723381639,0.9753325,0.9950665,0.993833125
regex,0.011009278050012767,0.003648000074463198,0.4619669999783582,0.012235024985329794,90849.18301577422,0.9774275,0.9954855,0.994356875
