run_id,run_number,api,strategy,reconciler,avg_latency_ms,min_latency_ms,max_latency_ms,p95_latency_ms,accuracy,throughput_pps,resilience_P,resilience_P2,vram_allocated_mb,compute_utilization_pct,drift_packets_pct
,1,,,regex,0.007018694949922519,0.0024599999051133636,0.22882700000081968,0.007310000000870787,0.97579,142476.62950660638,0.995158,0.9939475,15225.15771484375,0,4.988
,1,,,levenshtein,0.3640413557102147,0.08981899986792996,234.187841999983,0.3622450001330435,0.97167,2746.940654720622,0.994334,0.9929175,15225.15771484375,0,4.988
,1,,,bert,0.0011072135799986428,0.0,0.022197545709676077,0.0,0.97155,903168.1132390245,0.99431,0.9928875,15225.15771484375,0,4.988
,1,,,gemma,0.03298300121000011,0.0,0.6612470170409004,0.0,0.97579,30318.647888743675,0.995158,0.9939475,15225.15771484375,0,4.988
,1,,,regex,0.007259355379824228,0.00251999995271035,0.24638700006107683,0.00759099998504098,0.97658,137753.2780361296,0.9953160000000001,0.994145,15224.4990234375,0,4.846
,1,,,levenshtein,0.363695897170021,0.08936899985201308,0.9005780000279628,0.3698240000176156,0.97454,2749.549851348801,0.9949079999999999,0.9936349999999999,15224.4990234375,0,4.846
,1,,,bert,0.1598446571199997,0.0,3.29848652744531,0.0,0.96938,6256.0739784331545,0.993876,0.992345,15224.4990234375,0,4.846
,1,,,gemma,0.12365308426999949,0.0,2.551652585018561,0.0,0.97658,8087.141585700167,0.9953160000000001,0.994145,15224.4990234375,0,4.846
,1,,,regex,0.007182686069957072,0.0024089999897114467,0.5023640001127205,0.007420000201818766,0.9759,139223.68181768197,0.99518,0.9939749999999999,15225.255859375,0,5.007000000000001
,1,,,levenshtein,0.36725337933008634,0.09038999996846542,3.10844000000543,0.37074500005473965,0.97149,2722.915720541819,0.9942979999999999,0.9928724999999999,15225.255859375,0,5.007000000000001
,1,,,bert,0.008329630519999683,0.0,0.166359706810459,0.166359706810459,0.97039,120053.34421484495,0.994078,0.9925975,15225.255859375,0,5.007000000000001
,1,,,gemma,0.03431871554999817,0.0,0.6854147303774348,0.6854147303774348,0.9759,29138.619670748525,0.99518,0.9939749999999999,15225.255859375,0,5.007000000000001
,1,,,regex,0.006868916320322569,0.002429999995001708,0.24520800002392207,0.007139999979699496,0.9809,145583.3720147925,0.9961800000000001,0.995225,15224.0615234375,0,5.027
,1,,,levenshtein,0.3575897529904137,0.08865799986779166,1.2311440000303264,0.3634859999692708,0.97868,2796.500715239478,0.995736,0.99467,15224.0615234375,0,5.027
,1,,,bert,0.002436634000000595,0.0,0.04847093694053302,0.04847093694053302,0.96416,410402.2187984555,0.9928319999999999,0.99104,15224.0615234375,0,5.027
,1,,,gemma,0.019191067719998504,0.0,0.3817598512034713,0.3817598512034713,0.9809,52107.57497134599,0.9961800000000001,0.995225,15224.0615234375,0,5.027
