method,source,chaos_method,n,mapping_accuracy,exact_record_rate,mean_service_ms,p95_end_to_end_ms
bge,aviation_opensky,json_manip,243,0.7901234567901234,0.7160493827160493,0.42873321418815685,916.4594716000001
bge,aviation_opensky,qwen,270,0.7833333333333333,0.6555555555555556,0.4351721875973748,916.4190252000001
bge,aviation_opensky,schema_alter,237,0.8227848101265823,0.6455696202531646,0.4394649205545655,916.4588924000001
bge,clinical,json_manip,258,0.7930232558139535,0.5116279069767442,0.46069603788165947,607.97273475
bge,clinical,qwen,231,0.8285714285714286,0.6493506493506493,0.43136216181423404,608.06871
bge,clinical,schema_alter,261,0.8275862068965517,0.7126436781609196,0.45310761273703776,608.01951
bge,finnhub,json_manip,246,0.7530487804878049,0.5853658536585366,0.43899604215475735,268.08399099999997
bge,finnhub,qwen,297,0.8484848484848485,0.7474747474747475,0.43311558617247514,270.9578208
bge,finnhub,schema_alter,207,0.8478260869565217,0.7971014492753623,0.4461647987032674,270.8966205
bge,football_uefa,json_manip,237,0.8821811100292113,0.4936708860759494,0.5196685072018631,1052.666439
bge,football_uefa,qwen,228,0.9078947368421053,0.631578947368421,0.5093622983714677,1042.4864178000003
bge,football_uefa,schema_alter,285,0.9562753036437247,0.7157894736842105,0.5026156664147596,1042.5059042
bge,hockey_nhl,json_manip,255,0.9366515837104072,0.6,0.7236884007896696,803.7219977999999
bge,hockey_nhl,qwen,243,0.9112060778727445,0.5925925925925926,0.7187831453272757,801.6265041999999
bge,hockey_nhl,schema_alter,252,0.9065934065934066,0.5952380952380952,0.7264556130321677,801.959361
bge,openf1,json_manip,231,0.877922077922078,0.6103896103896104,0.6031897437557096,158.63923
bge,openf1,qwen,243,0.8444444444444444,0.5925925925925926,0.5978838912256065,158.5065666
bge,openf1,schema_alter,276,0.8913043478260869,0.782608695652174,0.5500326165328632,158.60679
bge,openweather,json_manip,210,0.8357142857142857,0.6857142857142857,0.42398970508575096,489.9578318
bge,openweather,qwen,258,0.7703488372093024,0.5930232558139535,0.43264141216402413,497.13807369999995
bge,openweather,schema_alter,282,0.8457446808510638,0.6914893617021277,0.43245243422275503,489.79334435
bge,smartcity_transit,json_manip,276,0.9364130434782608,0.6086956521739131,0.624719700094895,1204.40199025
bge,smartcity_transit,qwen,231,0.8902597402597403,0.4805194805194805,0.6270680682042588,1206.6080415000001
bge,smartcity_transit,schema_alter,243,0.8999999999999999,0.49382716049382713,0.6152788555864779,1204.4399108999999
bge,spacex,json_manip,255,0.8323529411764706,0.6823529411764706,0.4341154541542325,376.32131159999994
bge,spacex,qwen,237,0.8417721518987342,0.6962025316455697,0.426819688472365,386.08665859999996
bge,spacex,schema_alter,258,0.8372093023255814,0.6744186046511628,0.41393496059009305,386.0965242
levenshtein,aviation_opensky,json_manip,243,0.6728395061728395,0.49382716049382713,1.6188806419059185,2898.8964032999997
levenshtein,aviation_opensky,qwen,270,0.5777777777777777,0.4777777777777778,1.6151192597898703,2898.9527122
levenshtein,aviation_opensky,schema_alter,237,0.27848101265822783,0.27848101265822783,1.6208591031069617,2898.687787
levenshtein,clinical,json_manip,258,0.8558139534883722,0.5,1.5723803103292344,2067.5654594
levenshtein,clinical,qwen,231,0.7636363636363637,0.37662337662337664,1.5692217949592335,2067.6925659999997
