timestamp,elapsed_seconds,hardware_tier,power_draw_w,gpu_power_w,cpu_power_w,temperature_c,cumulative_kwh,estimated_gCO2e,gpu_energy_draw_joules,cpu_energy_draw_joules,gpu_power_source,cpu_power_source,measurement_quality,assigned_gpu_id,amd_device_path,amd_target_device_path,amd_sensor_relation,gpu_measurement_scope,energy_sensor_owner
2026-08-12T13:54:11Z,1.0,NVIDIA,192.61,192.61,0.0,44,5.4e-05,0.0161,192.76,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:12Z,2.0,NVIDIA,163.1,163.1,0.0,43,9.9e-05,0.0297,355.91,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:13Z,3.0,NVIDIA,197.77,197.77,0.0,46,0.000154,0.0461,553.74,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:14Z,4.0,NVIDIA,158.22,158.22,0.0,43,0.000198,0.0593,712.01,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:15Z,5.0,NVIDIA,186.3,186.3,0.0,49,0.00025,0.0749,898.36,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:16Z,6.0,NVIDIA,150.53,150.53,0.0,43,0.000291,0.0874,1048.93,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:17Z,7.0,NVIDIA,170.99,170.99,0.0,43,0.000339,0.1017,1219.96,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:18Z,8.0,NVIDIA,197.33,197.33,0.0,44,0.000394,0.1181,1417.33,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:19Z,9.0,NVIDIA,167.38,167.38,0.0,44,0.00044,0.1321,1584.74,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:20Z,10.0,NVIDIA,212.89,212.89,0.0,46,0.000499,0.1498,1797.69,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:21Z,11.0,NVIDIA,169.83,169.83,0.0,44,0.000547,0.164,1967.56,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:22Z,12.0,NVIDIA,212.38,212.38,0.0,46,0.000606,0.1817,2180.0,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:23Z,13.0,NVIDIA,166.57,166.57,0.0,44,0.000652,0.1956,2346.62,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:24Z,14.0,NVIDIA,225.29,225.29,0.0,48,0.000714,0.2143,2571.97,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:25Z,15.0,NVIDIA,176.97,176.97,0.0,44,0.000764,0.2291,2749.01,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:26Z,16.01,NVIDIA,177.97,177.97,0.0,44,0.000813,0.2439,2927.04,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:27Z,17.01,NVIDIA,237.06,237.06,0.0,46,0.000879,0.2637,3164.17,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:28Z,18.01,NVIDIA,178.9,178.9,0.0,44,0.000929,0.2786,3343.11,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:29Z,19.01,NVIDIA,219.02,219.02,0.0,47,0.000989,0.2968,3562.19,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:30Z,20.01,NVIDIA,164.36,164.36,0.0,44,0.001035,0.3105,3726.59,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:31Z,21.01,NVIDIA,172.6,172.6,0.0,44,0.001083,0.3249,3899.23,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:32Z,22.01,NVIDIA,223.65,223.65,0.0,44,0.001145,0.3436,4122.92,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:33Z,23.01,NVIDIA,174.46,174.46,0.0,44,0.001194,0.3581,4297.42,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:34Z,24.01,NVIDIA,229.59,229.59,0.0,50,0.001258,0.3773,4527.07,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:35Z,25.01,NVIDIA,174.92,174.92,0.0,44,0.001306,0.3918,4702.03,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:36Z,26.01,NVIDIA,198.46,198.46,0.0,45,0.001361,0.4084,4900.56,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:37Z,27.01,NVIDIA,152.16,152.16,0.0,43,0.001404,0.4211,5052.77,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:38Z,28.01,NVIDIA,227.07,227.07,0.0,45,0.001467,0.44,5279.92,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:39Z,29.01,NVIDIA,178.66,178.66,0.0,44,0.001516,0.4549,5458.63,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:40Z,30.01,NVIDIA,181.17,181.17,0.0,44,0.001567,0.47,5639.86,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:41Z,31.01,NVIDIA,238.99,238.99,0.0,45,0.001633,0.4899,5878.91,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:42Z,32.01,NVIDIA,180.31,180.31,0.0,45,0.001683,0.5049,6059.26,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:43Z,33.01,NVIDIA,207.81,207.81,0.0,44,0.001741,0.5223,6267.13,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:44Z,34.01,NVIDIA,164.33,164.33,0.0,44,0.001787,0.536,6431.53,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:45Z,35.01,NVIDIA,210.03,210.03,0.0,44,0.001845,0.5535,6641.6,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:46Z,36.01,NVIDIA,165.82,165.82,0.0,44,0.001891,0.5673,6807.47,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:47Z,37.01,NVIDIA,194.84,194.84,0.0,44,0.001945,0.5835,7002.36,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:48Z,38.01,NVIDIA,179.68,179.68,0.0,44,0.001995,0.5985,7182.08,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:49Z,39.01,NVIDIA,184.49,184.49,0.0,44,0.002046,0.6139,7366.61,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:50Z,40.01,NVIDIA,183.28,183.28,0.0,44,0.002097,0.6292,7549.93,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:51Z,41.01,NVIDIA,198.22,198.22,0.0,43,0.002152,0.6457,7748.2,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:52Z,42.01,NVIDIA,211.92,211.92,0.0,45,0.002211,0.6633,7960.18,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:53Z,43.01,NVIDIA,186.33,186.33,0.0,45,0.002263,0.6789,8146.56,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:54Z,44.01,NVIDIA,246.86,246.86,0.0,51,0.002332,0.6995,8393.48,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:55Z,45.01,NVIDIA,179.71,179.71,0.0,45,0.002381,0.7144,8573.24,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:56Z,46.01,NVIDIA,214.37,214.37,0.0,46,0.002441,0.7323,8787.68,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:57Z,47.01,NVIDIA,164.77,164.77,0.0,44,0.002487,0.746,8952.5,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:58Z,48.01,NVIDIA,206.77,206.77,0.0,45,0.002544,0.7633,9159.33,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:54:59Z,49.01,NVIDIA,166.41,166.41,0.0,44,0.00259,0.7771,9325.78,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:55:00Z,50.01,NVIDIA,170.1,170.1,0.0,44,0.002638,0.7913,9495.94,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:55:01Z,51.01,NVIDIA,196.43,196.43,0.0,44,0.002692,0.8077,9692.42,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:55:02Z,52.01,NVIDIA,158.89,158.89,0.0,43,0.002736,0.8209,9851.35,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:55:03Z,53.02,NVIDIA,172.85,172.85,0.0,43,0.002785,0.8354,10024.26,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:55:04Z,54.02,NVIDIA,149.11,149.11,0.0,43,0.002826,0.8478,10173.54,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:55:05Z,55.02,NVIDIA,213.17,213.17,0.0,44,0.002885,0.8656,10386.78,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
2026-08-12T13:55:06Z,56.02,NVIDIA,168.69,168.69,0.0,44,0.002932,0.8796,10555.51,0.0,nvml,unavailable,partial_measured,,,,,accelerator_device,True
