method,packets,drift_packets,drift_mapping_accuracy,drift_exact_record_rate,full_stream_accuracy,elapsed_seconds,throughput_pps,mean_service_ms,p50_end_to_end_ms,p95_end_to_end_ms,p99_end_to_end_ms,p95_queue_wait_ms,max_backlog_packets
levenshtein,22500,2250,0.7741213675213676,0.44355555555555554,0.9774121367521368,3.7480200453333334,6006.85166095048,1.6253868348148146,1853.6879636666665,3480.150462533333,3644.322685323333,3480.1348454666663,21989.0
regex,22500,2250,0.833888888888889,0.38666666666666666,0.9833888888888889,0.249851745,90090.4606336699,0.0436809045925926,75.18732899999999,98.657357,103.12892717666665,98.49119563333333,9594.666666666666
minilm,22500,2250,0.8895025641025641,0.6311111111111111,0.9889502564102562,0.823139851,27349.436341508812,0.3311993594074074,377.0415726666667,751.2723149333333,790.4448447866666,751.2639293333333,21989.0
qwen_1_5b,22500,2250,0.03769059829059829,0.0,0.9037690598290599,650.7163510916666,34.577742599016574,289.17170488755556,139553.226802,557290.0335514,632254.9206240134,557290.0254980667,21989.0
bge,22500,2250,0.8559846153846155,0.64,0.9855984615384615,1.2337754583333334,18237.77441845594,0.5127224272592592,549.829827,1129.2383679333332,1194.1091426666667,1129.2109649333333,21989.0
