_label,actual_device,api_name,averages_bert_latency,averages_gemma_confidence,averages_gemma_latency,averages_levenshtein_latency,averages_regex_latency,chaos_level,chaos_metadata_drift_type,chaos_metadata_level,chaos_metadata_mutated_len,chaos_metadata_original_len,chaos_metadata_strategy,chaos_metadata_temperature,chaos_strategy,concurrency,detection_rate,device_cloud,device_device,device_hardware,drift_detected,drift_type_count,drift_types_extra_keys,drift_types_merged_fields,drift_types_missing_keys,drift_types_nested_corruption,drift_types_renamed_keys,drift_types_split_fields,drift_types_type_mismatch,drift_types_value_contradiction,elapsed_seconds,fallback_used,frequency_profile,p95_latency_ms,packet_count,packet_profile,packet_size,policy_baseline_min_runs_per_config,policy_cross_platform_parity_required,policy_device,policy_policy_tag,policy_reproducibility,policy_stable_window_excludes_run_1,policy_standard_runs_per_config,policy_tag,reconciled_ok,reconciliation_winner,recovery_score,repair_rate,resilience_P,resilience_P2,run_number,target_hz,throughput_bytes_per_sec,throughput_pps,timing_us,total_runtime_sec
FULL,x86_64,finnhub,0,1.0,0,0,0,low,merged_fields,low,152,154,gemma,0.313186179176448,gemma,1,1.0,vast.ai,CUDA,x86_64,True,1,0,1,0,0,0,0,0,0,0.082409,False,100hz,82.409,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.8757823997940426,1.0,0.49189676318030134,0.5735512862206411,2,100,44622936,12.134596949362328,82409,0.082409
FULL,x86_64,finnhub,0,1.0,0,0,0,medium,missing_keys,medium,132,154,gemma,0.4949049044057875,gemma,1,1.0,vast.ai,CUDA,x86_64,True,1,0,0,1,0,0,0,0,0,0.080806,False,100hz,80.806,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.9591502228789874,1.0,0.5098942972303033,0.595476489709797,2,100,44389204,12.375318664455609,80806,0.080806
FULL,x86_64,finnhub,0,1.0,0,0,0,high,extra_keys,high,182,154,json,0.30408522707266306,json,1,1.0,vast.ai,CUDA,x86_64,True,1,1,0,0,0,0,0,0,0,0.013694,False,100hz,13.694,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.9942968584141127,1.0,0.8504951245672975,0.8771852851453712,2,100,100000000,73.0246823426318,13694,0.013694
FULL,x86_64,finnhub,0,1.0,0,0,0,low,value_contradiction,low,167,154,json,0.5894307559297616,json,1,1.0,vast.ai,CUDA,x86_64,True,1,0,0,0,0,0,0,0,1,0.014704,False,100hz,14.704,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.9912750598864859,1.0,0.8223028901056976,0.8538579379857673,2,100,100000000,68.00870511425462,14704,0.014704
FULL,x86_64,finnhub,0,1.0,0,0,0,medium,split_fields,medium,183,154,json,0.5086809076511608,json,1,1.0,vast.ai,CUDA,x86_64,True,2,0,0,1,0,0,1,0,0,0.013936,False,100hz,13.936,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.9655438839916171,1.0,0.8377700856387367,0.8642906782309697,2,100,100000000,71.75660160734787,13936,0.013936
FULL,x86_64,finnhub,0,1.0,0,0,0,high,merged_fields,high,154,154,schema,0.1300363377796935,schema,1,0.0,vast.ai,CUDA,x86_64,False,0,0,0,0,0,0,0,0,0,0.014197,False,100hz,14.197,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,1.0,0.0,0.5874057899556244,0.5669683736000564,2,100,100000000,70.43741635556808,14197,0.014197
FULL,x86_64,finnhub,0,1.0,0,0,0,low,type_mismatch,low,148,154,schema,0.7509072502360623,schema,1,1.0,vast.ai,CUDA,x86_64,True,1,0,0,0,0,0,0,1,0,0.014798,False,100hz,14.798,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.9957519499272197,1.0,0.8208222375324097,0.853033135474777,2,100,100000000,67.57669955399378,14798,0.014798
FULL,x86_64,finnhub,0,1.0,0,0,0,medium,merged_fields,medium,154,154,schema,0.6960588133020111,schema,1,0.0,vast.ai,CUDA,x86_64,False,0,0,0,0,0,0,0,0,0,0.014853,False,100hz,14.853,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,1.0,0.0,0.5702955631858884,0.5529690971520904,2,100,100000000,67.32646603379789,14853,0.014853
FULL,x86_64,finnhub,0,1.0,0,0,0,high,value_contradiction,high,162,154,gemma,0.8680902629067718,gemma,1,1.0,vast.ai,CUDA,x86_64,True,1,0,0,0,0,0,0,0,1,0.084043,False,1mhz,84.043,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.982185552164281,1.0,0.47023861680459444,0.5633979640200333,2,1000000,44721385,11.898670918458407,84043,0.084043
FULL,x86_64,finnhub,0,1.0,0,0,0,low,nested_corruption,low,163,154,gemma,0.6808220276929003,gemma,1,1.0,vast.ai,CUDA,x86_64,True,1,0,0,0,1,0,0,0,0,0.084511,False,1mhz,84.511,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.9737015485100352,1.0,0.4684100095043997,0.5611781057085219,2,1000000,44444444,11.832779164842446,84511,0.084511
