method,packets,drift_packets,drift_mapping_accuracy,drift_exact_record_rate,full_stream_accuracy,elapsed_seconds,throughput_pps,mean_service_ms,p50_end_to_end_ms,p95_end_to_end_ms,p99_end_to_end_ms,p95_queue_wait_ms,max_backlog_packets
levenshtein,22500,2250,0.774155555555558,0.44355555555555554,0.9774155555555558,12.174417415666667,1850.1162660128957,5.352182934222223,5917.513780333334,11307.117172583334,11870.663767209999,11307.068675216666,21989.0
regex,22500,2250,0.8347162393162465,0.38177777777777777,0.9834716239316247,0.259978471,86556.72904740323,0.048987582518518515,97.76533766666667,136.17476926666666,142.54606708999998,136.09731633333334,13913.666666666666
minilm,22500,2250,0.8895025641025657,0.6311111111111111,0.9889502564102567,0.8138219833333333,28501.137966395065,0.3198184411851852,419.13600349999996,702.1551238166667,734.1698607466666,702.1437555666666,21989.0
qwen_1_5b,22500,2250,0.04016239316239315,0.0,0.9040162393162392,394.3824497466667,57.05129221652453,175.23926271866665,85123.11441133333,337779.0281854833,383423.25496740005,337779.0178236834,21989.0
bge,22500,2250,0.8559846153846155,0.64,0.9855984615384615,1.009064887,22298.526569822076,0.40777858103703707,435.758562,912.4720398166668,967.36017091,912.4619391166666,21989.0
