method,source,chaos_method,n,mapping_accuracy,exact_record_rate,mean_service_ms,p95_end_to_end_ms
bge,aviation_opensky,json_manip,243,0.7901234567901234,0.7160493827160493,0.32730094772876894,735.5897422
bge,aviation_opensky,qwen,270,0.7833333333333333,0.6555555555555556,0.33367534621504963,735.54326295
bge,aviation_opensky,schema_alter,237,0.8227848101265823,0.6455696202531646,0.3350368624385435,735.5889382
bge,clinical,json_manip,258,0.7930232558139535,0.5116279069767442,0.35090287644517437,483.87275255000003
bge,clinical,qwen,231,0.8285714285714286,0.6493506493506493,0.3305825595036139,483.9173865
bge,clinical,schema_alter,261,0.8275862068965517,0.7126436781609196,0.34561210576290374,483.920996
bge,finnhub,json_manip,246,0.7530487804878049,0.5853658536585366,0.3305528102624468,216.141212
bge,finnhub,qwen,297,0.8484848484848485,0.7474747474747475,0.32219499438242616,216.15150559999998
bge,finnhub,schema_alter,207,0.8478260869565217,0.7971014492753623,0.3331575587031393,215.77749219999998
bge,football_uefa,json_manip,237,0.8821811100292113,0.4936708860759494,0.4130770947551249,848.2909712000001
bge,football_uefa,qwen,228,0.9078947368421053,0.631578947368421,0.4055069416607399,841.4622872
bge,football_uefa,schema_alter,285,0.9562753036437247,0.7157894736842105,0.40282656978332054,841.489251
bge,hockey_nhl,json_manip,255,0.9366515837104072,0.6,0.61506338566844,653.000746
bge,hockey_nhl,qwen,243,0.9112060778727445,0.5925925925925926,0.6183227563139163,645.2752985
bge,hockey_nhl,schema_alter,252,0.9065934065934066,0.5952380952380952,0.6171724237831073,645.26081605
bge,openf1,json_manip,231,0.877922077922078,0.6103896103896104,0.5017117941064408,134.1103025
bge,openf1,qwen,243,0.8444444444444444,0.5925925925925926,0.4872495643826344,129.4203198
bge,openf1,schema_alter,276,0.8913043478260869,0.782608695652174,0.44386771053891205,130.578403
bge,openweather,json_manip,210,0.8357142857142857,0.6857142857142857,0.32140757868800335,392.56511194999996
bge,openweather,qwen,258,0.7703488372093024,0.5930232558139535,0.3284776384161352,392.8704059
bge,openweather,schema_alter,282,0.8457446808510638,0.6914893617021277,0.32807460506033176,385.2799768
bge,smartcity_transit,json_manip,276,0.9364130434782608,0.6086956521739131,0.5141787673099405,974.0276970000001
bge,smartcity_transit,qwen,231,0.8902597402597403,0.4805194805194805,0.5137706284571372,979.3018850000001
bge,smartcity_transit,schema_alter,243,0.8999999999999999,0.49382716049382713,0.50426306467294,973.9283921000001
bge,spacex,json_manip,255,0.8323529411764706,0.6823529411764706,0.33904227624482797,306.3626141
bge,spacex,qwen,237,0.8417721518987342,0.6962025316455697,0.3294723258640892,306.64525000000003
bge,spacex,schema_alter,258,0.8372093023255814,0.6744186046511628,0.3231958534299325,307.19096425
levenshtein,aviation_opensky,json_manip,243,0.6728395061728395,0.49382716049382713,5.549322172572948,9457.5986595
levenshtein,aviation_opensky,qwen,270,0.5777777777777777,0.4777777777777778,5.585848254520728,9457.558372200001
levenshtein,aviation_opensky,schema_alter,237,0.27848101265822783,0.27848101265822783,5.578955485847242,9457.5297768
levenshtein,clinical,json_manip,258,0.8558139534883722,0.5,5.327069179083158,6632.54595455
levenshtein,clinical,qwen,231,0.7636363636363637,0.37662337662337664,5.064332405359549,6632.8204135
levenshtein,clinical,schema_alter,261,0.6275862068965518,0.39080459770114945,5.270031783595745,6632.679903
levenshtein,finnhub,json_manip,246,0.8689024390243902,0.573170731707317,5.34387380728533,2630.7328650000004
levenshtein,finnhub,qwen,297,0.7297979797979798,0.5252525252525253,5.2171147902861925,2630.7579060000003
levenshtein,finnhub,schema_alter,207,0.6521739130434783,0.4492753623188406,5.228103085596379,2622.8020654999996
levenshtein,football_uefa,json_manip,237,0.9415774099318404,0.5063291139240507,5.354869699735298,10861.3282162
levenshtein,football_uefa,qwen,228,0.8866396761133604,0.39473684210526316,5.294022771260576,10860.4797595
levenshtein,football_uefa,schema_alter,285,0.7765182186234818,0.3473684210526316,5.253519259442295,10861.431979199999
levenshtein,hockey_nhl,json_manip,255,0.9805429864253394,0.6470588235294118,5.4931507183915596,8090.293954299999
levenshtein,hockey_nhl,qwen,243,0.9306742640075973,0.4691358024691358,5.4266727577641225,8061.948085899999
levenshtein,hockey_nhl,schema_alter,252,0.8956043956043956,0.35714285714285715,5.4935580441865435,8135.8523545
levenshtein,openf1,json_manip,231,0.9207792207792208,0.4805194805194805,5.488411026165786,1409.401829
