method,n,mean_accuracy,mean_latency_ms,throughput_pps
levenshtein,236,0.7844361147327249,2.797409936440795,357.47352827105544
regex,236,0.8286505867014342,0.028343305084548374,35281.700458608815
minilm,236,0.89998370273794,12.209909059322158,81.90069190044531
qwen_1_5b,236,0.1365547588005215,257.03155913983073,3.8905728282805083
bge,236,0.8451108213820078,13.38577126271202,74.70619214789984
cohere_embed_v4,236,0.8310136897001303,41.82335146610177,23.910087665033483
